timestamp,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,satellites_used,battery_remaining
1783578379.4533408,-0.1217308,0.31665453,-43.892166,0.11719403,-0.30602026,1.5150073,10,0.5000267028808594
1783578379.5532985,-0.11227135,0.2899917,-43.748703,0.10113461,-0.2804156,1.5153329,10,0.5000267028808594
1783578379.6534567,-0.10421533,0.26409203,-43.59317,0.08645334,-0.25454685,1.515891,10,0.5000267028808594
1783578379.7533164,-0.09813478,0.24295722,-43.449608,0.07659964,-0.23209156,1.5159466,10,0.5000267028808594
1783578379.8531988,-0.09291688,0.22247244,-43.29408,0.06843738,-0.20991196,1.516442,10,0.5000267028808594
1783578379.953156,-0.08931495,0.20515512,-43.15037,0.06215655,-0.19187942,1.5164843,10,0.5000267028808594
1783578380.0531628,-0.08640732,0.18819956,-42.99438,0.05669936,-0.17443772,1.5166497,10,0.5000267028808594
1783578380.1531665,-0.084542066,0.17416035,-42.850185,0.053726126,-0.16022716,1.5166773,10,0.5000267028808594
1783578380.2531686,-0.08303759,0.15981758,-42.693798,0.052424144,-0.14764248,1.516593,10,0.5000267028808594
1783578380.3533947,-0.08178374,0.14762205,-42.549637,0.05223452,-0.1375759,1.5160133,10,0.5000267028808594
1783578380.453259,-0.08074957,0.13569152,-42.39361,0.0526806,-0.1283421,1.5158064,10,0.5000267028808594
1783578380.5531604,-0.08022593,0.12539971,-42.249737,0.053672858,-0.12127611,1.5157455,10,0.5000267028808594
1783578380.6531565,-0.08043919,0.11490783,-42.093952,0.054249883,-0.11500766,1.515541,10,0.5000267028808594
1783578380.7532065,-0.08099686,0.105562225,-41.949924,0.053821765,-0.11065498,1.51543,10,0.5000267028808594
1783578380.8533828,-0.08193441,0.09606869,-41.793354,0.052967265,-0.106364734,1.515852,10,0.5000267028808594
1783578380.9532402,-0.083027154,0.08832187,-41.648388,0.05211434,-0.1024286,1.5154278,10,0.5000267028808594
1783578381.0534842,-0.08443892,0.08123785,-41.491356,0.05107986,-0.09743886,1.5146017,10,0.5000267028808594
1783578381.1531825,-0.08635967,0.07592581,-41.346107,0.04976948,-0.09281614,1.5139765,10,0.5000267028808594
1783578381.2531471,-0.0891645,0.07153538,-41.188396,0.048761908,-0.087748855,1.5130117,10,0.5000267028808594
1783578381.3531637,-0.091797516,0.06813094,-41.04345,0.04896387,-0.08373267,1.5117775,10,0.5000267028808594
1783578381.4535398,-0.09521618,0.06517995,-40.886692,0.049818173,-0.07986131,1.5105577,10,0.5000267028808594
1783578381.553223,-0.09890946,0.06328991,-40.742188,0.05138066,-0.07659739,1.5095062,10,0.5000267028808594
1783578381.6531775,-0.10240599,0.062325235,-40.58605,0.05467308,-0.073196895,1.5088813,10,0.5000267028808594
1783578381.753265,-0.10474521,0.062438253,-40.442566,0.059650693,-0.070088506,1.5085105,10,0.5000267028808594
1783578381.8532355,-0.10622993,0.0633036,-40.28761,0.06618743,-0.06679833,1.5087546,10,0.5000267028808594
1783578381.9533591,-0.106953375,0.06444218,-40.144672,0.071996376,-0.06470463,1.509179,10,0.5000267028808594
1783578382.053246,-0.10694334,0.065035634,-39.989647,0.07830872,-0.06420616,1.5103284,10,0.5000267028808594
1783578382.1533,-0.10594053,0.06469202,-39.84601,0.08425179,-0.065224044,1.5112392,10,0.5000267028808594
