timestamp,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,satellites_used,battery_remaining,gps_lat_variance,gps_lon_variance,gps_window_filled
1783662743.100408,22.951853,-56.126472,-50.01061,2.7149923,-4.2070937,0.008166592,10,0.5000267028808594,2.0194839173657902e-28,1.262177448353619e-29,1
1783662743.2005014,23.206757,-56.527985,-50.01132,2.7241693,-4.2007494,0.009309376,10,0.5000267028808594,2.0194839173657902e-28,1.262177448353619e-29,1
1783662743.3005126,23.483286,-56.961815,-50.01105,2.733189,-4.193675,0.010150696,10,0.5000267028808594,2.0194839173657902e-28,1.262177448353619e-29,1
1783662743.400788,23.73865,-57.36156,-50.009895,2.740301,-4.187689,0.010572642,10,0.5000267028808594,2.0194839173657902e-28,1.262177448353619e-29,1
1783662743.500433,24.015688,-57.79425,-50.008183,2.747468,-4.1822996,0.009715932,10,0.5000267028808594,2.0194839173657902e-28,1.262177448353619e-29,1
1783662743.600436,24.272371,-58.193176,-50.006508,2.754579,-4.178644,0.008200537,10,0.5000267028808594,2.0194839173657902e-28,1.262177448353619e-29,1
1783662743.7009082,24.551428,-58.625065,-50.004803,2.7622476,-4.175518,0.006644413,10,0.5000267028808594,2.0194839173657902e-28,1.262177448353619e-29,1
1783662743.8005083,24.81004,-59.023663,-50.00304,2.7691333,-4.173673,0.004565149,10,0.5000267028808594,2.0194839173657902e-28,1.262177448353619e-29,1
1783662743.9004793,25.091106,-59.45531,-50.001884,2.7760663,-4.1722765,0.0022397884,10,0.5000267028808594,2.0194839173657902e-28,1.262177448353619e-29,1
1783662744.0005755,25.350847,-59.853676,-50.00182,2.7813082,-4.1713734,0.00044534603,10,0.5000267028808594,2.0194839173657902e-28,1.262177448353619e-29,1
1783662744.1004841,25.63287,-60.28592,-50.00241,2.7865195,-4.171418,-0.00043025034,10,0.5000267028808594,2.0194839173657902e-28,1.262177448353619e-29,1
1783662744.2007897,25.89361,-60.685703,-50.002846,2.7906935,-4.172597,-0.00021882093,10,0.5000267028808594,2.0194839173657902e-28,1.262177448353619e-29,1
1783662744.3006055,26.176767,-61.119534,-50.003242,2.7948835,-4.1748166,0.00013494589,10,0.5000267028808594,2.0194839173657902e-28,1.262177448353619e-29,1
1783662744.4004548,26.43917,-61.520412,-50.00407,2.7987468,-4.177264,0.0005647992,10,0.5000267028808594,2.0194839173657902e-28,1.262177448353619e-29,1
1783662744.5004892,26.72481,-61.955288,-50.00548,2.803051,-4.1799636,0.0010001488,10,0.5000267028808594,2.0194839173657902e-28,1.262177448353619e-29,1
1783662745.6534245,26.768875,-62.022285,-50.00574,2.8037038,-4.180494,0.0009731817,10,0.5000267028808594,2.0194839173657902e-28,1.262177448353619e-29,1
1783662745.7004848,26.923326,-62.256866,-50.006657,2.8060348,-4.182044,0.0015398408,10,0.5000267028808594,2.0194839173657902e-28,1.262177448353619e-29,1
1783662745.8006144,27.18864,-62.659126,-50.00791,2.8099427,-4.184089,0.0029377597,10,0.5000267028808594,2.0194839173657902e-28,1.262177448353619e-29,1
1783662745.9005105,27.476536,-63.09487,-50.00792,2.8128512,-4.1853647,0.004789509,10,0.5000267028808594,2.0194839173657902e-28,1.262177448353619e-29,1
1783662746.0005205,27.742718,-63.496788,-50.007496,2.8146613,-4.185408,0.005665675,10,0.5000267028808594,2.0194839173657902e-28,1.262177448353619e-29,1
1783662746.1005907,28.030643,-63.931747,-50.00671,2.8150747,-4.1847706,0.0059730983,10,0.5000267028808594,2.0194839173657902e-28,1.262177448353619e-29,1
1783662746.2006147,28.296204,-64.3329,-50.00545,2.8142407,-4.183319,0.005707933,10,0.5000267028808594,2.0194839173657902e-28,1.262177448353619e-29,1
1783662746.3004963,28.583889,-64.767334,-50.004,2.812346,-4.182201,0.004667552,10,0.5000267028808594,2.0194839173657902e-28,1.262177448353619e-29,1
